Cluster	color
AT1	#B79F00
AT2	#F8766D
B cells	#8c4b9b
Basal	#A31E22
Brush cells	#6f2a4d
Cycling	#F3766E
Dendritic	#9966ff
Deuterosomal	#2da9d2
Endothelial	#281c1c
Fibroblast	#aea9ce
Ionocyte	#5c5670
Macrophage	#c997e7
Mast cells	#e366ff
Monocyte	#dc8193
Mucous	#5edbbd
Multiciliated	#466cb9
Multiciliated N	#7e98ce
Pericyte	#5c5c3d
Plasma cells	#7e6384
PNEC	#efa465
Rare cells	#ff6600
Secretory	#53c653
Secretory N	#a9c653
Serous	#3e937f
Smooth muscle	#7c5959
Suprabasal	#FCCC0A
Suprabasal N	#e0c96c
T cells	#ff1aff
Undefined cells	#878787
